voxelID mppcID probability
21 6 0.0002172
21 7 0.0002744
21 8 0.00039
21 9 0.0004112
21 10 0.000356
21 11 0.0003008
21 12 0.0002332
21 13 0.0001924
21 14 0.000172
21 15 0.00017
21 16 0.0001824
22 1 0.0001868
22 2 0.000188
22 3 0.0001784
22 4 0.0002008
22 5 0.0001948
22 6 0.0002208
22 7 0.0003
22 8 0.0004392
22 9 0.0005028
22 10 0.000424
22 11 0.0003088
22 12 0.000234
22 13 0.0002056
22 14 0.0001808
22 15 0.0001676
22 16 0.0001764
23 1 0.0002024
23 2 0.000216
23 3 0.0002056
23 4 0.000208
23 5 0.0001976
23 6 0.0002396
23 7 0.0003292
23 8 0.0004616
23 9 0.0006328
23 10 0.0004904
23 11 0.000308
23 12 0.000236
23 13 0.0001964
23 14 0.0001992
23 15 0.0002032
23 16 0.0002216
24 1 0.0002552
24 2 0.0002548
24 3 0.0002768
24 4 0.000272
24 5 0.0002464
24 6 0.0002468
24 7 0.0003172
24 8 0.0005236
24 9 0.0007872
24 10 0.0005352
24 11 0.0003208
24 12 0.0002476
24 13 0.0002304
24 14 0.0002328
24 15 0.0002548
24 16 0.00026
25 1 0.0003336
25 2 0.0003468
25 3 0.0003692
25 4 0.0003524
25 5 0.0002868
25 6 0.0002824
25 7 0.0003688
25 8 0.0005964
25 9 0.0010428
25 10 0.0005932
25 11 0.0003512
25 12 0.0002968
25 13 0.0003012
25 14 0.0003292
25 15 0.0003572
25 16 0.0003592
26 1 0.0004316
26 2 0.000458
26 3 0.0004512
26 4 0.0004652
26 5 0.0004288
26 6 0.0003388
26 7 0.0003888
26 8 0.0006008
26 9 0.0014228
26 10 0.00063
26 11 0.0003972
26 12 0.0003384
26 13 0.0004
26 14 0.0004408
26 15 0.0004792
26 16 0.0004668
27 1 0.0005584
27 2 0.0005552
27 3 0.0005356
27 4 0.0005392
27 5 0.0005468
27 6 0.0004196
27 7 0.0004064
27 8 0.000612
27 9 0.0020532
27 10 0.0005856
27 11 0.000402
27 12 0.0004292
27 13 0.000522
27 14 0.0005688
27 15 0.0005216
27 16 0.0005516
28 1 0.0006476
28 2 0.000634
28 3 0.0006388
28 4 0.000648
28 5 0.0006804
28 6 0.0005836
28 7 0.0005
28 8 0.0005524
28 9 0.0036732
28 10 0.0005604
28 11 0.0004872
28 12 0.0005768
28 13 0.0006592
28 14 0.0006636
28 15 0.0006156
28 16 0.0006372
29 1 0.0007448
29 2 0.0007592
29 3 0.0007164
29 4 0.0007256
29 5 0.0007324
29 6 0.0007508
29 7 0.0006748
29 8 0.0006324
29 9 0.0080388
29 10 0.0006208
29 11 0.0007104
29 12 0.0007356
29 13 0.0007444
29 14 0.0007428
29 15 0.00072
29 16 0.000722
30 1 0.000228
30 2 0.0002356
30 3 0.0002276
30 4 0.0002496
30 5 0.0002476
30 6 0.0002472
30 7 0.0002268
30 8 0.000242
30 9 0.0002444
30 10 0.0002356
30 11 0.0002268
30 12 0.000232
30 13 0.000206
30 14 0.0002256
30 15 0.0002152
30 16 0.0002276
31 1 0.0002444
31 2 0.0002728
31 3 0.0002724
31 4 0.0002556
31 5 0.0002324
31 6 0.00025
31 7 0.0002204
31 8 0.0002296
31 9 0.0002252
31 10 0.0002104
31 11 0.000208
31 12 0.0002184
31 13 0.0002008
31 14 0.000218
31 15 0.0002348
31 16 0.0002528
32 1 0.0002804
32 2 0.0002828
32 3 0.0002904
32 4 0.0002612
32 5 0.0002572
32 6 0.0002228
32 7 0.000228
32 8 0.0001912
32 9 0.0002192
32 10 0.0002052
32 11 0.000194
32 12 0.0001972
32 13 0.0001992
32 14 0.0002212
32 15 0.0002176
32 16 0.0002508
33 1 0.0002844
33 2 0.0003216
33 3 0.000294
33 4 0.000266
33 5 0.0002288
33 6 0.0002196
33 7 0.0001996
33 8 0.0002052
33 9 0.0002052
33 10 0.0001896
33 11 0.0001888
33 12 0.0002028
33 13 0.0002144
33 14 0.0001964
33 15 0.0002564
33 16 0.000278
34 1 0.0003416
34 2 0.0003376
34 3 0.0003352
34 4 0.0002488
34 5 0.0002256
34 6 0.0002092
34 7 0.0001848
34 8 0.0001776
34 9 0.0001904
34 10 0.0001984
34 11 0.0002044
34 12 0.00018
34 13 0.000206
34 14 0.0002064
34 15 0.0002536
34 16 0.0002804
35 1 0.0004008
35 2 0.0003824
35 3 0.0003148
35 4 0.0002852
35 5 0.000214
35 6 0.0001808
35 7 0.0001988
35 8 0.0001752
35 9 0.0001964
35 10 0.0001976
